store_uid,store_id,store_number,name,address,lat,lng,open_time,close_time,store_type,has_tx
125,2155,203166,Pizza Com Midtown Asoke,"Grand Park View Asoke Bldg. No.189/1 Sukhumvit 21 Rd., Klongtoeynua, Wattana, Bangkok 10110",13.7434940,100.5618860,10:00:00,00:30:00,DLC,False
230,1360,203065,Pizza Com Sukhumvit 47,"No.879 Soi Sukhumvit 47, Sukhumvit Rd., Klongton Nue, Wattana, Bangkok 10110",13.7272460,100.5746160,10:00:00,00:30:00,DLC,False
1170,1914,203151,Pizza Com The Explace Kanchanapisek,"The Explace Kanchanapisek Room A11-111 No.60/1 Kalapapruk Rd., Bangkae, Bangkae,
Bangkok 10160",13.6939950,100.4082750,10:00:00,22:00:00,DLC,False
178,2610,270851,Pizza Com Major Petchkasem,"Phetchakasem Power Center No.611/1 Moo 10 Petchkrasem Rd., Bankae, Bangkae, Bangkok 10160",13.7065870,100.3815810,,,FSR,False
567,1299,201028,Pizza Com The Mall Bangkae,"The Mall Bangkae No.275 Moo 1, Phetchakasem Rd., Bangkaenuea, Bangkae, Bangkok 10160",13.7132050,100.4079340,10:00:00,22:00:00,FSR,False
1169,2314,203188,Pizza Com Victoria Gardens,"Victoria Gardens Room J, No.108 Phechkasem Rd., Laksuang, Bangkae, Bangkok 10160",13.7066260,100.3745020,10:00:00,00:30:00,DLC,False
152,2700,203222,Pizza Com IT Square Laksi,"No.333/103 Moo 4, Talad Bangkhen, Laksi, Bangkok 10210",13.8868790,100.5812090,,,DLC,False
366,2220,203180,Pizza Com Plum Changwattana,"Plum Condo Mixed Chaengwattana, No.349/4-5 Soi Chaengwattana 1, Chaengwattana Rd., Talad Bangkhen, Laksi , Bangkok 10210",13.8810970,100.5867550,10:00:00,00:30:00,DLC,False
314,1412,203088,Pizza Com Wongsakorn,"No.48/45 Moo 1 Saimai Rd., Saimai, Saimai, Bangkok 10220",13.9214500,100.6840670,10:00:00,00:30:00,DLC,False
1213,3051,203235,Pizza Com Big C Sukhapiban 5,"Big C Super Center Sukhapiban 5 No.98/1-3, Moo 4, Sukhapiban5 Road, O-Ngoen, Sai Mai, Bangkok 10220",13.8886000,100.6560000,,,DLC,False
118,1353,270021,Pizza Com Fashion Island,"Fashion Island 3rd Floor Room 1027 No.587, 589 Ramintra Rd., Kannayao, Kannayao, Bangkok 10230",13.8260780,100.6779980,10:00:00,09:00:00,FSR,False
2526,4160,203243,Pizza Com Amorini Ramintha,"No. 1 Amorini Fl.1 Room 107 Suan Sayam Rd, Khan Na Yao, Khan Na Yao,Bangkok 10230",13.8136700,100.6876000,,,DLC,False
274,1255,203013,Pizza Com Ramintra Km.8,"No.206/4 Kubon Rd., Kannayao, Kannayao, Bangkok 10230",13.8404260,100.6620350,10:00:00,00:30:00,DLC,False
98,1276,203026,Pizza Com Sukhapiban 3,"No.59/341 Sukhapiban 3 Rd., Sapansung, Sapansung, Bangkok 10240",13.7907020,100.7028090,10:00:00,00:30:00,DLC,False
1132,1257,203012,Pizza Com Lotus Ladprao 120,"No. Soi Ladprao 120 , Ladprao Road , Plabpla , Wongthonglang Bangkok 10310",13.7782290,100.6231350,10:00:00,00:30:00,DLC,False
384,2435,203190,Pizza Com The Scene Town in Town,"The Scene Town In Town Room A225, No.1323 Soi Ladprao 94(Panjamit), Ladprao Rd., Phlapphla, Wangthonglang, Bangkok 10310",13.7727447,100.6098580,10:00:00,22:00:00,DLC,False
371,1426,203101,Pizza Com Hathairaj,"No.98/4 Soi Hathairaj 8, Hathairaj Rd., Bangchan, Klongsamwa, Bangkok 10510",13.8229039,100.7204392,10:00:00,00:30:00,DLC,False
97,2643,203218,Pizza Com Safari World,"No.361/1 Leab Klong 2 Rd., Bangchan, Klongsamwa, Bangkok 10510",13.8606381,100.7070089,,,DLC,False
334,1770,203136,Pizza Com Soi Lasall,"No.525, 527 Lasan Rd., Bangna, Bangna, Bangkok 10260",13.6628290,100.6171700,10:00:00,00:30:00,DLC,False
110,1296,203038,Pizza Com One Udomsuk,"No.38 Oneudomsuk  Soi Udomsuk 1, Sukhumvit  Rd., Bangna Prakanong Bangkok 10260",13.6794920,100.6098960,10:00:00,00:30:00,DLC,False
1140,1267,201026,Pizza Com Central Bangna,"Central Bangna 5th Floor, No.1091 Moo 12, Bangna-Trad Rd., Bangna, Bangna, Bangkok 10260",13.6695630,100.6343210,10:00:00,21:00:00,FSR,False
1189,2963,203233,Pizza Com Boonthavorn Pinklao,"Boonthavorn Pinklao 1st Floor, No.29/41 Boromarajonani Rd., Taweewattana, Taweewattana, Bangkok 10170",13.7863350,100.3725870,,,DLC,False
267,2194,201107,Pizza Com The Paseo Kanchanapisek,เดอะพาซิโอ กาญจนาภิเษก เลขที่ 8/9 ถนนกาญจนาภิเษก แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพฯ 10170,13.7672890,100.4063010,10:00:00,22:00:00,RBD,False
1158,1311,203046,Pizza Com Prachautis 45,"839 Prachauthis Road, Bangmod, Thungkru, Bangkok, 10140",13.6517680,100.4969740,10:00:00,00:30:00,DLC,False
1144,1762,203143,Pizza Com Prachautis 90,"No.8/4-5 Soi Pracha-Uthit 90, Phacha-Uthit Rd., Thungkru, Thungkru, Bangkok 10140",13.6113892,100.5105591,10:00:00,22:00:00,DLC,False
1146,1273,203023,Pizza Com Bangbon,"Future Bangbon Center No.48/26 Moo 6 Ekachai-Bangbon Rd., Bangbon, Bangbon, Bangkok 10150",13.6724890,100.4260640,10:00:00,00:30:00,DLC,False
1898,3615,272558,Pizza Com Paknam,"No.31,35 Srisamut Rd., Paknam, Muang Samutprakarn, Samutprakarn 10270",13.5969990,100.5969760,,,DLC,False
